videoID,dataset,fold
0050 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0052 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0053 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0054 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0055 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0056 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0057 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0058 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0059 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0060 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0061 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0062 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0063 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0065 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0066 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0068 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0070 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0071 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0072 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0073 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0074 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0076 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0078 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0079 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0081 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0082 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0083 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0086 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0089 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0092 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0093 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0094 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0096 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0097 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0099 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0100 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0101 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0102 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0105 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0106 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0107 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0108 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0114 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0115 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0128 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0129 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0133 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0137 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0138 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0144 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0146 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0147 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0149 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0158 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0160 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0167 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0169 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0180 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0182 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0183 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0184 - Laparoscopic Cholecystectomy.mp4,lapchole,1
