videoID,dataset,fold
0029 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0030 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0032 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0033 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0034 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0036 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0037 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0039 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0040 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0041 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0042 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0043 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0044 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0045 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0048 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0049 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0050 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0052 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0053 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0054 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0055 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0056 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0057 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0058 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0059 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0060 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0061 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0062 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0063 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0065 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0066 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0068 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0070 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0071 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0072 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0073 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0074 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0076 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0078 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0079 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0081 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0082 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0083 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0086 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0089 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0092 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0093 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0094 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0096 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0097 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0099 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0100 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0101 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0102 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0105 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0106 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0107 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0108 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0114 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0115 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0128 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0129 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0133 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0137 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0138 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0144 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0146 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0147 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0149 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0158 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0160 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0167 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0169 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0180 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0182 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0183 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0184 - Laparoscopic Cholecystectomy.mp4,lapchole,0
