videoID,dataset,fold
0050 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0052 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0053 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0054 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0055 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0056 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0057 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0058 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0059 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0060 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0061 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0062 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0063 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0065 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0066 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0068 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0070 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0071 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0072 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0073 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0074 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0076 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0078 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0079 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0081 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0082 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0083 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0086 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0089 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0092 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0093 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0094 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0096 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0097 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0099 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0100 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0101 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0102 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0105 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0106 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0107 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0108 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0114 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0115 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0128 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0129 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0133 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0137 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0138 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0144 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0146 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0147 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0149 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0158 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0160 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0167 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0169 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0180 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0182 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0183 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0184 - Laparoscopic Cholecystectomy.mp4,lapchole,4
